booking_charge_desc,booking_charge_txt
BURGLARY 2,D/V
FEL VEHICLE PROWL,1ST DEGREE
OWN DOG THAT ATTACKS,
ASLT 4,SEX MOT
PROBAT HLD,PROSTITUTION
ASLT CHILD 1ST,ATTEMPTED
COMM CUSTODY JAIL,"MAL MISCH, ELUDING"
UPCS,FTA JURY TRIAL
RESIS ARR,AID ARRESTED PERS
TRESP PUB,2ND
PARKS - TRESPASS,
COMM CUSTODY JAIL,"ATT UPCS, UPCS"
UPCS,DRUG CORT REVIEW
LOADED GUN IN VEHICLE,RIFLE
POSSESION BY OFFENDERS - F/A AMMO,
POSS. MOTOR VEHICLE  THEFT TOOLS,SHAVED KEYS
IDENTITY THEFT CRIMINAL ATTEMPT,
PROBAT HLD,FEL HARR/ASLT 4
UPCS,FTA DRUG CT SCREEN
COMM CUSTODY JAIL,UPCS/METH
PROBAT HLD,LFO'S
COMM CUSTODY JAIL,RES BURG X 3
COMM CUSTODY JAIL,ASLT 3/ROB2/UPCS
PROBAT HLD,UPCS/DUI
MAIL THEFT,POSS STOLEN MAIL
RECK ENDANGER,ENDANG OF CHILD
ASLT 2,FIREARM INHANCE
COMM CUSTODY JAIL,FRASO
THEFT 2,UPCS
PROBAT HLD,"VPO, ASSAULT 4"
PHYS CNTRL W/ PRIOR CONVICTION,
PROBAT HLD,USPSCS
FAIL TO COMPLY,WITH POLICE
RESIS ARR,DV
COMM CUSTODY JAIL,RAPE 3
CRIM TRESP 1,1ST
COMM CUSTODY JAIL,ASLT3
DRIVING WITHOUT A LICENSE,
WEAPONS POSS BY INTOXICATED PERSON,FORFEITURE OF F/A
FEL POS F/A,
PROBAT HLD,VIO NO CONT/MAL MIS
ASLT 2,BAIL JUMPING
COMM CUSTODY JAIL,ID THEFT/ THEFT
FUGITIVE,UPCS/THEFT 3
COMM CUSTODY JAIL,ID THEFT 1 & 2
DWLS/DWLR,DWLS 3RD
COMM CUSTODY JAIL,PSV
PROBAT HLD,CT 2/THEFT 3/MM 3
COMM CUSTODY JAIL,ROBBERY 2/ASSAULT 2
COMM CUSTODY JAIL,UPCS/UMCS
COMM CUSTODY JAIL,UNL POSS STLN VEH
PROBAT HLD,ASSAULT 4
COMM CUSTODY JAIL,TMV
HOLD AT&F,
HOLD DEA,
COMM CUSTODY JAIL,INTERSTATE COMPACT
PROBAT HLD,RC 3RD
PROBAT HLD,FEL HAR
COMM CUSTODY JAIL,TMVWOP 2ND
COMM CUSTODY JAIL,HARASS/WITN TAMP
UPCS,ATTEMPT
UNL POSS FIREARM 2,FTA
DRIVE BY SHOOTING,FTA
UPCS,FTA
COMM CUSTODY JAIL,PROT ORD VIOL
TMVWOP 2,ATTEMPT
COMM CUSTODY JAIL,ROBBERY 2ND
TRAFFICKING STOL PROP 1,DV
DWI,PROB VIOLATION
BUSINESS LIC VIOL,
PROBAT HLD,UPCS W/INTENT X 2
FUGITIVE,ASLT
COMM CUSTODY JAIL,"ASSAULT 3, UPOF 1"
ESCAPE 1,ATC
PSP 2,FTA SUM/ARR
NVOL,W/O IDENT
UPCS,FTA PRE-TRIAL CONF
PROBAT HLD,MINOR IN POSS LIQ
PROBAT HLD,TRES
PROBAT HLD,ROBBERY 2
COMM CUSTODY JAIL,P O VIOL X 2
THEFT LIVESTCK,
PROBAT HLD,"UPSV, RECK DRV"
VIOL COURT ORD /DV,PROTECTION ORDER
UPCS,VUCSA POSS. OF METH
COMM CUSTODY JAIL,"TSP1, UPCS"
ROBBERY 2,ATTEMPT
COMM CUSTODY JAIL,RIOT
COMM CUSTODY JAIL,MISD HARASSMENT
ASLT POL DOG,ATTEMPTED
COMM CUSTODY JAIL,ASLT 2    X2
COMM CUSTODY JAIL,BURG2 / UPCS
PROBAT HLD,USTPCS
HOLD REMANN HALL,TMVWOP
COMM CUSTODY JAIL,ID THEFT 3
VEH ASLT,DUI-VEHICULAR ASLT
PROBAT HLD,UPCS/OBST
UPCS W INTENT,METH/HEROIN
RECK ENDANGERMENT,BBS
HIT/RUN ATT,BBS
KIDNAPPING 2,ATTEMPT
KIDNAPPING 1,ATTEMPT
ROBBERY 2,STRONG ARMED
RECK DRV,3RD
PROBAT HLD,MURDER 2
PROBAT HLD,ASLT 2
FEL PUR/ELUDE,ATTMPT
COMM CUSTODY JAIL,ASLT 2ND & ROB 2ND
COMM CUSTODY JAIL,UNLAW POS FIREARM
PROBAT HLD,RESIDENTIAL BURG
VUCSA CONSPIRACY,ATTEMPTED
"FEL HARASS-DV, DV-THREATS/DEATH THRT",THREAT/BODILY INJ
HOLD US MARSHAL,TRAFFIC OFFENSES
INTERFERE WITH HEALTH CARE FACILITY,
CRIM TRESP 2,`
COMM CUSTODY JAIL,CHILD MOLESTATION 2
PROBAT HLD,RETAIL THEFT
PROBAT HLD,CRIM MIS WEAPO/RIOT
PROBAT HLD,THEFT 3
ASLT 1,CONSPIRACY TO COM
PROBAT HLD,ASLT/RESISTING
ASLT 4,ATTEMPT
FEL HARASS (NON DV),AGAINST LE
UNL POSS FIREARM 2,FELON IN POSSESSION
THEFT 3,RETAIL THEFT SPEC CI
COMM CUSTODY JAIL,ID THEFT 2/PSP 2
ASLT 1 / DV,DV
PROBAT HLD,TMVWOP/PSP 3
ASLT 2 -DV,AGGRAVATED
UPCS,`
FUGITIVE,SEX MISCONDUCT 3
COMM CUSTODY JAIL,UU BLDG DRUGS
FEL DV CRT ORD VIO,PROTECTION ORDER
AIDING/ABETTING VIOLATIONS,
UPCS,METH/MORPHONE/OX
HEALTH PROFESS. UNLICENSED PRACTICE,
PROBAT HLD,ID THEFT/UPCS
CRIM TRESP,1ST DRG
FALSE STATEMENT TO PUB SERVANT,D/V
ASSAULT 4 /DV,BBS
COMM CUSTODY JAIL,UPCS/FIREARM/VUCSA
COMM CUSTODY JAIL,BURG 2/THFT 1/MM2
ASLT 2 -DV,BBS
ATTEMPTED TAMPER WITH A WITNESS/DV,
FUGITIVE,PROB VIOL/DUI
UPCS,METH/HERION
THEFT 2,FTA ARRAIGNMENT
PROBAT HLD,FTA REVIEW HRG
ASLT 3,SEARCH WARRANT
UNL POSS FIREARM 1,SEARCH WARRANT
COMM CUSTODY JAIL,ID THEFT 2/ PSP2
CHILD MOLEST 1,FTA ARRAIGNMENT
POSS MARIJUANA - 40 GRAMS OR LESS,DRUG COURT
POSS LEG. DRUG/PROHIBITED ACT,DRUG COURT
CHILD RAPE 3,DV
DUTY ON STRIKING PROPERTY,`
VIO. PROT. ORD - NON-DV,NO CONTACT ORDER
PROBAT HLD,ASLT 4/UPCS
ASLT/DV,4TH DEGREE
PROBAT HLD,TSP 2/ UPCS
FTR INJ ACC,FATALITY
ASLT 2,W/DEADLY WEAPON
THREATENED PROPERTY DAMAGE DV,
PSP 2,`
ASLT 2,DV
ASLT 2,MHP COURT
COMM CUSTODY JAIL,IDENT THEFT 2 / UPCS
COMM CUSTODY JAIL,UPOF
PROBAT HLD,DV FELONY HARASSME
FUGITIVE,METH
COMM CUSTODY JAIL,ASLT 2 X 2
PROBAT HLD,HARRASMENT
PROBAT HLD,ASLT4; ASLT3;BRIBERY
UPCS,METH & HEROIN
DWLS/DWLR, 
MIN OPER VEH/ALC CONS,DWI UNDER 21
COMM CUSTODY JAIL,IDENT THFT 2(3 CTS)
UPCS,W/O PRESCRIPTION
CRIMINAL SOLICITATION,MISD
ARSON 1,ATTEMPTED
PROBAT HLD,ATT ASLT 3/OBST
VIOL N/C ORDER,DV
COMM CUSTODY JAIL,ASLT 3/PSP 2/TMVH
DEFRAUD INNKEEPER,
MAL MISC 3 /DV,PHYSICAL DAMAGE
PROBAT HLD,DV CRT ORD VIO
FUGITIVE,THFT 1 (2 CTS)/THFT 2
RES BURGLARY,FTA ARRAIGNMENT
ROBBERY 1,W/FASE
THEFT 1,ATT.
PROBAT HLD,ESCPE CC/UNL SOL CS
PROBAT HLD,RES BURG
TMVWOP 1,DV
BURGLARY 1,D/V
PROBAT HLD,"UPCS, UPFA"
PROBAT HLD,TMVWOP 2ND
JUVENILE PAROLE HLD,CM 1
COMM CUSTODY JAIL,ID-THEFT 1ST & 2ND
RES BURGLARY,1ST
ENTRY ERROR,`
COMM CUSTODY JAIL,ESCAPE 2
PROBAT HLD,CRIM MISCHIF/RIOT/HA
OBSTR PUB SERV,DV
BURGLARY 2,COMMERCIAL
FUGITIVE,THEFT 1 / THEFT 1
CHILD RAPE 2,DV
INCEST 1,DV
HOLD US MARSHAL,PROB HOLD
DISO PERS/CONDUCT,ABUSIVE LANGUAGE
THEFT 3,ATT
DWLS/DWLR,3RDQ
UNLAWFUL FIREARMS/PARTS CONTRABAN,
FUGITIVE,AGG VEH THEFT
POSSESSION LOADED FIREARM,
COMM CUSTODY JAIL,THEFT2 X8/UPCS
DUI WITH PRIOR CONVICTION,2 PRIORS
PROBAT HLD,ASSAULT 4 DV
CHILD MOLEST 3,ATTEMPTED
PROBAT HLD,ASLT 4 DV
CHILD RAPE 1,ATT
HOLD REMANN HALL,ASLT 4/MARIJ POSS
PROBAT HLD,SSOSA//CR X2
COMM CUSTODY JAIL,MISD D/V COURT ORD
OPEN ALCOHOLIC CONTAINER,
PROBAT HLD,ASLT 4 DV/HARSS
FEL DV CRT ORD VIO,DV
VIO NC ORD /DV,PR SENTENCE
COMM CUSTODY JAIL,VEH HOMICIDE
VIO NC ORD /DV,SEXUAL ASSAULT N/C
FALSE INFO,MENTAL HEALTH CRT
THEFT 3,MENTAL HEALTH CRT
OBSTR PO,MENTAL HEALTH CRT
FEL HARASS (NON DV),MENTAL HEALTH CRT
POSS DANG WEAPON,KNIFE
FUGITIVE,PETTY THEFT
COERCION,DV
CHILD RAPE 2,BBS
POSSESS INHALANT,
NARCOTICS - CONTR SUB,MISD
FAIL TO SURRENDER LICENSE TO DOL,
DISPLAY WEAPON,BRANDISHING
COMM CUSTODY JAIL,"PSP2, POSV, PSP2"
HARASSMENT,W/SEXUAL MOTIVATIO
MAL MISCH 2,THERAPEUTIC COURT
INDECENT EXPOSURE,THERAPEUTIC COURT
PROBAT HLD,"FEL HARAS, ASSAULT 4"
COMM CUSTODY JAIL,ASLT2/W DW
LPDA,DRUG RELATED
CRIMINAL ATTEMPT,CRIM SOLICITATION
FAMILY ABANDONMENT,
FUGITIVE,POSS. METH
COMM CUSTODY JAIL,UPCS W INTENT
COMM CUSTODY JAIL,RIOT ARMED
DRUG PARA,USE/DELIVER
COMM CUSTODY JAIL,"ASLT 2, ASLT 3 LE"
DWI,`
FUGITIVE,ARMED ROBBERY
HOLD US MARSHAL,SEX EXPLOIT MINOR
COMM CUSTODY JAIL,UMCS/UPCS W/INT/UP
ASLT 4,PROVOKING
COMM CUSTODY JAIL,ATT TO ELUDE
UPCS,FTA DRUG COURT
CRIMINAL SOLICITATION,GROSS MISD
ASLT 2,SEXUAL MOTIVATION
FUGITIVE,CHECK FRAUD
PROBAT HLD,ATTEMPT ASLT 3/4
HARASSMENT,PHYSICAL DAMAGE
VEH PROWL,3RD
FUGITIVE,OBSTRUCT
PROBAT HLD,FORGERY/THEFT 2
COMM CUSTODY JAIL,FTR SEX OFFEDER
COMM CUSTODY JAIL,COMM W/MINOR/
UPCS W INTENT,DRUG CT REVIEW
UPCS,FTA OMNIBUS
ASLT 1,W/ FIREARM
JUVENILE PAROLE HLD,ASLT 3/UPCS
THEFT 2,CREDIT CARDS
PROBAT HLD,UPOF 2/ASLT 4/DV
FUGITIVE,BURG 1/THEFT 2ND
FEL HARASS (NON DV),TOWARDS LEO
COMM CUSTODY JAIL,CONSPIRA TO CREAT
DWLS/DWLR,DWLS
ESCAPE COMMUNITY CUSTODY,BBS
PROBAT HLD,HARASSMENT
PROBAT HLD,ATT ASLT 3/ASLT 4
HOLD US MARSHAL,SIMPLE ASSAULT
PROBAT HLD,CRIM IMPER 1
POSS LEG. DRUG/PROHIBITED ACT,UPCS PRESCRIP
COMM CUSTODY JAIL,"INT A WTNES, VPO"
THEFT 2,WF
COMM CUSTODY JAIL,TAMP WITH WITNESS
PROBAT HLD,SOL UPCS/THEFT 3
PROBAT HLD,"THFT 3, ATT TRAF SP"
FUGITIVE,BURG 2
COMM CUSTODY JAIL,"ID THEFT, UPCS"
COMM CUSTODY JAIL,UPCS/ASLT 4
COMM CUSTODY JAIL,"IDENT THFT 2, FORG-2"
COMM CUSTODY JAIL,ROBERRY 2
DWLS/R 1ST/2ND,1ST/BBS
PROBAT HLD,POS STOLEN VEHICLE
COMM CUSTODY JAIL,RECK BURNING
UPCS,FTA CONTINUANCE
DATES AND TIMES TO SELL FIREWORKS,
COMM CUSTODY JAIL,KIDNAP 1/IND LIB
HOLD US MARSHAL,ESCAPE
HOLD REMANN HALL,UPOF
UPCS,COCAINE/PILLS
COMM CUSTODY JAIL,ID THEFT 2 (6 CTS)
PROBAT HLD,ASLT4/MM3
PROBAT HLD,ASSAULT 3
TAMPER WITH FIRE ALARM (F),
FEL PUR/ELUDE,ATTEMP
COMM CUSTODY JAIL,ID THEFT/12 COUNTS
COMM CUSTODY JAIL,FTRSO X 2+
COMM CUSTODY JAIL,PROT. ORD VIO
COMM CUSTODY JAIL,INTIM/WITNESS
PROBAT HLD,CWMIP/BAIL JUMP
PROBAT HLD,ATT ASLT 3
CONDUCT ACTIVITY W/O LICENSE,MASSAGE
COMM CUSTODY JAIL,ID THEFT 2/STLN PROP
THEFT 2,FTA O/H
CRIMINAL ATTEMPT,SOLICTATION
COMM CUSTODY JAIL,IDEN THEFT 1X10
TMVWOP 2,ATTEMPTED
CRIMINAL ATTEMPT,SOLICITATION
FUGITIVE,PROB VIOL/PSP
VEH PROWL,DV
RETAIL THFT W/EXT CIRCUMSTANCES 3,ATTEMPTED
THEFT FROM VULNERABLE ADULT 1,
PROBAT HLD,BURG 2/RETAIL THEFT
INTERFERE W/ RPT /DV,`
COMM CUSTODY JAIL,RET THFT SPEC CIRC
COMM CUSTODY JAIL,ID THFT 1/ID THFT 2
COMM CUSTODY JAIL,POSS STOLEN  VEHICL
FEL PUR/ELUDE,DV
COMM CUSTODY JAIL,ASLT
CHILD RAPE 1,ATTEMPED
UNL POSS FIREARM 1,WHILE NOT US CITIZEN
FUGITIVE,ATT MURDER
PROBAT HLD,R THFT THFT 3
COMM CUSTODY JAIL,INC CRIM PROF;BURG 2
THEFT OF MV,ATTEMP
RECK ENDANGER,CHILD
FORGERY,ATTEMPT
COMM CUSTODY JAIL,POV
FUGITIVE,MONTANA
PEDESTRIAN INTERF,WITH TRAFFIC
CRIM ASLT /DV,FTA
COMM CUSTODY JAIL,ID THEFT 1/BURG 2
COMM CUSTODY JAIL,RES BURG/ASSAULT 2
COMM CUSTODY JAIL,UPCS X 2
HOLD US MARSHAL,WEAPON OFFENSE
UPCS,NO PRESCRPT
COMM CUSTODY JAIL,ROBB 2/ ASSLT 2
COMM CUSTODY JAIL,POSS STLN FIREARM
POSS DANG WEAPON,BBS
PROBAT HLD,RECK END
COMM CUSTODY JAIL,MAIL THEFT
ASLT 1,ARMED W/FIREARM
FELONY DUI,6TH
UPCS W INTENT,HEROIN/METH
VIOL COURT ORD /DV,NCO
COMM CUSTODY JAIL,ASSLT 3RD
COMM CUSTODY JAIL,RIOT WITH DEADLY W
POSS UNLAWFUL FIREARM,S/W
UPCS W INTENT,S/W
UNLAWFUL USE OF A FORTIFED BLDG,
PROBAT HLD,CRIMINAL ENDANGERM
CRIM MISTREAT 3,
COMM CUSTODY JAIL,RAPE OF A CHILD
VUCSA CONSPIRACY,MARIJAUNA
UMCS,MARIJAUNA
COMM CUSTODY JAIL,UPCS/ASLT 2
FAIL REGIS S/O,KIDNAP
HARASS  /DV,THREATEN BODY
PROBAT HLD,FORGERY/ID THEFT 2
PROBAT HLD,MM1/THEFT 2
FUGITIVE,FTR SO
SEX OFFENDER / NON FELON FAIL REG.,FTR SO
CRIM ASLT /DV,BBBS
VOYEURISM -1 (C),ATTEMPTED
COMM LIC REQUIRED,
DANGWPNSCHOOL,
ENTRY ERROR,2ND
PROBAT HLD,HARASS
COMM CUSTODY JAIL,THEFT 2/ASLT 3
FUGITIVE,ROB/BATTERY PROB
DWLS/DWLR,1 ST
UNL POSS FIREARM 2,LEFT TREATMENT
DRUG LOITERING PROHIBITED,SODA ORDER
FUGITIVE,FTA GEN FELONY
MAL MISC 3/DV,
INTRO CONTRA 3,METH & HEROIN
RES BURGLARY,THEFT OF F/A
UPCS W INTENT,ATTEMPTED
COMM CUSTODY JAIL,PROT ORDER
COMM CUSTODY JAIL,DELIVERY
COMM CUSTODY JAIL,ID THFT 2  X4
HOLD COMM CUSTODY,POV
ASSAULT 4 /DV,STRANGULATION
CRIM TRSP 2 /DV,DV
COMM CUSTODY JAIL,ASLT 2(2 CTS)
SEX EXPLICIT MAT DISPLAY,
COMM CUSTODY JAIL,FAILURE TO REG.
UPCS W INTENT,"1 METH, 1 HERION"
HOLD US MARSHAL,BANK ROBBERY
NVOL,3RD
MAL MISCH 3 /DV,W/PHYSICAL DAMAGE
UPCS,METH/OXY/MORPHINE
UNLAWFUL TRAFFICKING WILDLIFE 2ND,
COMM CUSTODY JAIL,ROB 1;IDENT THEFT 2
COMM CUSTODY JAIL,"ASSAULT2, ROB2"
HOLD US MARSHAL,PROB. VIOLATION
PROBAT HLD,ASSAULT 2/4 DV
HARASSMENT /DV,DIRECT THREAT
RES BURGLARY,BBS
HAB OFFENDER,DWLS
COMM CUSTODY JAIL,"VUCSA, UPCS"
RIOT-ARMED,CRIMINAL MISCH
CRIM TRESP /DV,2ND DEGREE
HAB OFFENDER,VIOL FINANCIAL RESP
FUGITIVE,BURG 1
DEFR PUB UTILITY,2ND
SOLICITATION PROHIBITED AREAS/LOCATIO,CRIMINAL SOLICIT
DRIVING W/SUSPENDED VEH REGISTRATIO,
UIBC,STOLEN CHECK
COMM CUSTODY JAIL,ASLT 3 / HARASSMENT
COMM CUSTODY JAIL,TMWOP 2
ILLEGAL DEPOSIT OF SOLID WASTE(SIP),ILLEAGAL DUMPING
DIST PEACE,
PROBAT HLD,FL ELUDE
PROBAT HLD,HARASSMENTX2
PROBAT HLD,UPCS/TRESPESS
CRIM TRESP /DV,1ST DEGREE
COMM CUSTODY JAIL,ATTEMPTED ASLT 2
COMM CUSTODY JAIL,BURG 1/THEFT 1/MM2
COMM CUSTODY JAIL,BURGLARY 2
FUGITIVE,NY DOC
HOLD MISC,STRANGULATION / DV
FUGITIVE,UPCS/HEROIN
COMM CUSTODY JAIL,UPCS/TMVWOP
CRIM MISTREAT 3,DV
DWLS/DWLR,1ST/2ND
COMM CUSTODY JAIL,ASLT 2 (LAW ENFORCE)
COMM CUSTODY JAIL,"VEH ASLT, DRUGS"
VIO NC ORD /DV,POST CONVICTION
TRAFFICKING STOL PROP 2,FTA SENTENCING
PROBAT HLD,FIREARM 2ND
UPCS,"METH, HEROIN"
VIO NC ORD /DV,8Z688671
PETTY THEFT /DV,D.V.
COMM CUSTODY JAIL,ASLT 2 DEAD WEAPON
INTIM JUDGE (B),
COMM CUSTODY JAIL,ASLT 4
VIO NC ORD /DV,HARASSMENT
COMM CUSTODY JAIL,FRASO 2ND CONV
UMCS,FTA TRIAL
PHYSICAL CNTRL,ACTUAL
PROBAT HLD,UPSV/POSS MV THFT T
PROBAT HLD,UPCS (2 CTS)
UPCS,DRUG PARA/BAIL JUMP
HOLD REMANN HALL,ROB 2/ ASLT 3
COMM CUSTODY JAIL,TAMP W/WITNESS
FUGITIVE,MATERIAL WITNESS
FUGITIVE,OREGON
CIVIL DRG CRT VIOL,CIVIL DRUG COURT
COMM CUSTODY JAIL,ARSON 1
LEGEND DRUG- POSS NO PRESC,FELONY
VIO NC ORD /DV,FTA
VIOL FOREIGN PROT ORD,
COMM CUSTODY JAIL,DV COURT ORD VIOL
VIO PROT OR /DV,#121036936
UNLAW POS PAY INSTR,STLN CHECK
PROBAT HLD,OBSTRUCTING LE
COMM CUSTODY JAIL,VIO PROT OR
COMM CUSTODY JAIL,UPCS/FORGE
COMM CUSTODY JAIL,THEFT OF A MV
PUB DIST-BLDG/APARTMENT,
DUI WITH PRIOR CONVICTION,AMMENDED MINOR
POSS PSEUDOEPHEDRINE 15 + GRAMS,
ASLT 3,3RD
PROBAT HLD,RES BURG/THEFT 3
COMM CUSTODY JAIL,VUSCA DELIVER
FUGITIVE,PROB VIOL/ASSAULT
RES BURGLARY,ATEMPTED
COMM CUSTODY JAIL,ASLT 1 W/FIREARM
PROBAT HLD,CRIM TRES-REC BURN
ASLT/DV,4
PROBAT HLD,"SOL UPCS, VIOL PO"
PROBAT HLD,"PROT ORD, ASLT 4 D/V"
CRIM TRESP,1 ST
UNL POSS FIREARM 2,FEL POSS. F/A
POSSESS STOLEN VEHICLE,FTA PTC
RAPE 1,D/V
COMM CUSTODY JAIL,HIT AND RUN
THEFT 2,FTA SUMMONS
FUGITIVE,ASLT 3
RES BURGLARY,DRUG COURT
COMM CUSTODY JAIL,"I/D THEFT 2, FORGERY"
UPCS,DRUG CT
THEFT 2,DRUG CT
COMM CUSTODY JAIL,"IDENT THFT 2, UPCS"
ASLT 1,AGGRAVATED DV
IDENT THFT 2,THEFT 2 X2
CRIM TRESP 1,DV
POSS MARIJUANA - 40 GRAMS OR LESS,MINOR
FORGERY,NON FELONY
COMM CUSTODY JAIL,DV CRT ORD VIO
